nct_id,start_date,status,phase,study_type,brief_title,official_title,condition_names,intervention_names,gender,minimum_age,maximum_age,healthy_volunteers,zip_codes,primary_purpose,allocation,intervention_model,observation_model,masking,design_description,study_description,outcome_description,outcome_measure,facilities_and_contacts,central_contacts
NCT04366830,,No longer available,,Expanded Access,"Intermediate-size Expanded Access Program (EAP), Mesenchymal Stromal Cells (MSC) for Acute Respiratory Distress Syndrome (ARDS) Due to COVID-19 Infection","Intermediate-size Expanded Access of Remestemcel-L, Ex-vivo Cultured Adult Human Mesenchymal Stromal Cells for Acute Respiratory Distress Syndrome Due to COVID-19 Infection",Moderate to Severe Acute Respiratory Distress Syndrome Associated With COVID-19,Remestemcel-L,All,18,,,10029,,,,,,"       This intermediate-size expanded access protocol plans to treat approximately 50 adult       participants, male and female, with moderate to severe ARDS due to COVID-19 infection.       Participants who are 18 years of age or older will be enrolled at multiple clinical sites       across the United States.     ",       The objectives of this intermediate-size expanded access protocol are to assess the safety       and efficacy of remestemcel-L in participants with ARDS due to coronavirus infection 2019       (COVID-19).     ,,,Mount Sinai Hospital; New York; New York; 10029,""
NCT04372602,2020-06-30,Not yet recruiting,Phase 2,Interventional,Duvelisib to Combat COVID-19,A Pilot Study of Duvelisib to Combat COVID-19,COVID-19,Duvelisib;Peripheral blood draw,All,18,,No,63110,Treatment,N/A,Single Group Assignment,,None (Open Label),,"       The exceedingly high mortality rates of severe and critical COVID-19 warrant the       identification and evaluation of novel therapies that could potentially mitigate the advanced       disease manifestations. Based on preclinical data from this institution and others, the       investigators hypothesize that PI3K inhibition with duvelisib could potentially quell       aberrant hyperactivtation of the innate immune system, preferentially polarize macrophages,       reduce pulmonary inflammation, and limit viral persistence, thereby improving patient       outcomes.     ",,Overall survival,"Washington University School of Medicine; Saint Louis; Missouri; 63110; John DiPersio, M.D., Ph.D.; jdipersi@wustl.edu; 314-454-8491","John DiPersio, M.D., Ph.D.; 314-454-8491; jdipersi@wustl.edu"
NCT04381013,2020-05-31,Not yet recruiting,N/A,Interventional,Emergency Ventilator Splitting Between Two or More Patients (COVID-19),Emergency Ventilator Splitting Between Two or More Patients Using a Single Ventilator to Address Critical Ventilator Shortages During a Pandemic,COVID-19,Emergency Ventilator Splitter,All,18,,No,94304,Device Feasibility,Non-Randomized,Sequential Assignment,,None (Open Label),,"       The purpose of this study is to develop a safe, easily scalable, and simple method to split a       single ventilator for use amongst two or more patients, thus serving as a capacity bridge to       save patient lives until manufacturers can produce enough ventilators.     ",This outcome will measure whether the device will function for respiratory support for 24 hours (yes or no; phase 2 only),Completion of 24-hour test,Stanford University; Stanford; California; 94304,""
NCT04377308,2020-05-01,Recruiting,Phase 4,Interventional,Fluoxetine to Reduce Intubation and Death After COVID19 Infection,Fluoxetine to Reduce Intubation and Death After COVID19 Infection,COVID-19|Cytokine Storm,Fluoxetine,All,18,,Accepts Healthy Volunteers,43614,Treatment,Non-Randomized,Parallel Assignment,,None (Open Label),,"       This project will test the efficacy of fluoxetine to prevent serious consequences of COVID-19       infection, especially death. Becoming sick with COVID-19 virus or any other serious       respiratory condition is not fun. However, the dramatic effects of the COVID-19 pandemic on       human society stem from its significant mortality, not the number of individuals who become       sick. This project aims to prevent serious outcomes such as hospitalization, respiratory       failure and death during the time it takes to develop vaccinations and other strategies to       prevent COVID-19 infectionPoor outcomes with COVID-19 infection such as hospitalization,       respiratory failure, organ failure and death are associated with a dysfunctional exaggerated       immune response, called a cytokine storm, that is triggered by Interleukin-6 expression       (IL-6) and seems to occur around day 5 to 7 of symptoms. Fluoxetine has extraordinarily       strong evidence in its action as a blocker of IL-6 and cytokine storms in both animal models       of infection and in human illness such as rheumatoid arthritis and others. This action of       fluoxetine is an entirely separate pathway than the serotonergic pathway that allows       fluoxetine to act as an antidepressant. This pathway has been demonstrated in cell culture,       in animal models, in human illness and by novel bioinformatics analyses of protein       transcripts to be relatively unique for fluoxetine and appears to be a novel pathway. This       project aims to inhibit the increase in IL-6 expression and thereby prevent the cytokine       storm that causes poor outcomes. Patients who have tested positive or are presumptively       positive for COVID-19 will be entered into the study and given the option to start the       medication fluoxetine, which is demonstrated to prevent IL-6 surges in infectious and       inflammatory conditions. Participants will be monitored daily for COVID-19 symptoms and       weekly for side effects and tolerance of fluoxetine. A subset of patients will have blood       drawn weekly and stored to monitor IL-6 and other cytokine levels at a later date.       This project aims to reduce the serious outcomes of COVID-19 infection by preventing or       inhibiting the cytokine storm associated with organ failure, respiratory failure and death.     ",whether the subject is intubated for COVID-19 symptoms,Intubation,"University of Toledo; Toledo; Ohio; 43614; Cheryl McCullumsmith, MD PhD; cheryl.mccullumsmith@utoledo.edu; 419-383-5651","Cheryl McCullumsmith, MD PhD; 419.383.5651; cheryl.mccullumsmith@utoledo.edu"
NCT04353401,2020-04-30,Enrolling by invitation,,Observational,WGS ANALYSIS OF SARS-COV-2 POSITIVE PATIENTS,WHOLE GENOME SEQUENCING ANALYSIS OF SARS-COV-2 POSITIVE PATIENTS,Coronavirus Infection|SARS-CoV-2,,All,18,,No,20037,,,,Cohort,,,       We aim to better understand the mode of action of SARS-CoV-2 in the context of its       interaction with the host genome through whole genome sequencing.     ,Clinical associations with human and viral genetics,Associations with severity and outcomes,"Vanda Pharmaceuticals, Inc.; Washington; District of Columbia; 20037",""
NCT04338828,2020-04-30,Not yet recruiting,Phase 2,Interventional,Nitric Oxide Inhalation Therapy for COVID-19 Infections in the ED,Nitric Oxide Inhalation Therapy for COVID-19 Infections in the Emergency Department,COVID19,Inhaled Supplemental Oxygen;Nitric Oxide Gas,All,18,,No,02114,Treatment,Randomized,Parallel Assignment,,Triple,"       The spread of novel Coronavirus (2019-nCoV) related infection (COVID-19) has led to many       patient presentations in the emergency department for respiratory complaints, with many of       these patients requiring ICU admission and ventilatory support. While COVID-19 patients have       an increased need for supportive care, there is currently no specific treatment directed       against 2019-nCoV. Nitric oxide inhalation has been used as a pulmonary vasodilator and has       been found to have antiviral activity against other coronavirus strains.       Preliminary data support a microbicidal effect of high concentration inhaled NO. We       hypothesize that high concentration inhaled NO can have a viricidal effect against SARS-Cov-2       and prevent the deterioration to a severe form of COVID-19 when administered at an early       stage of the disease. Additional potential mechanisms why INO may be effective in this       indication: 1)improves V/Q ratio, 2) reduces PVR and PAP, 3) Anti-thrombotic in lung. This       would have potential benefit for the patients in terms of reducing the severity of the       clinical course and time to recovery. An additional benefit could be for the society since a       faster and a less severe clinical course could protect limited hospital resources (ED, floor,       and ICU) from being overwhelmed.       The primary aim is to prevent the deterioration of mild COVID-19 infection (defined by a       RT-PCR positive for SARS-CoV-2 in a specimen from any site) with respiratory signs/ symptoms       to a more severe form of the disease as defined by the patient needing to 1) return to the       ED, 2) be admitting to the hospital, 3) be intubated, 4) and all cause 28 day mortality.     ","       The spread of novel Coronavirus (2019-nCoV) related infection (COVID-19) has led to many       patient presentations in the emergency department for respiratory complaints, with many of       these patients requiring ICU admission and ventilatory support. While COVID-19 patients have       an increased need for supportive care, there is currently no specific treatment directed       against 2019-nCoV. Nitric oxide inhalation has been used as a pulmonary vasodilator and has       been found to have antiviral activity against other coronavirus strains. The primary aim of       this study is to determine whether inhaled NO improves short term respiratory status,       prevents future hospitalization, and improves the clinical course in patients diagnosed with       COVID-19 specifically in the emergency department.     ",Difference within treatment and control groups with COVID-related symptoms/disease in their likelihood to return to the ED with worsening symptoms,Rates of return visits to the ED,"Massachusetts General Hospital; Boston; Massachusetts; 02114; N. Stuart Harris, MD, MFA; nsharris@mgh.harvard.edu; 617-724-3290","N. Stuart Harris, MD, MFA; 617-724-3290; nsharris@mgh.harvard.edu"
NCT04334512,2020-04-30,Not yet recruiting,Phase 2,Interventional,A Study of Quintuple Therapy to Treat COVID-19 Infection,A Phase II Pilot Study of Quintuple Therapy to Treat COVID-19 Infection,COVID-19,Azithromycin;Hydroxychloroquine;vitamin C;Vitamin D;Zinc,All,18,,No,93003,Treatment,,Single Group Assignment,,None (Open Label),       In this study patients will be treated with a combination therapy to determine if this       combination can effectively treat COVID-19. The study will last 24 weeks.     ,"       This is a Phase II interventional study will test the efficacy of quintuple therapy       (Hydroxychloroquine, Azithromycin, Vitamin C, Vitamin D, and Zinc) in the treatment of       patients with COVID-19 infection).     ",Patients will tolerate Quintuple Therapy with minimal side effects. Meaning that side effects will not be severe enough to warrant discontinuation of therapy,Successful treatment as determined by Negative Test and resolution of symptoms,ProgenaBiome; Ventura; California; 93003,"Sabine Hazan, MD; 805-200-7436; sabinehazan@aim.com"
NCT04352634,2020-04-26,Recruiting,,Observational,The Covid-19 HEalth caRe wOrkErS (HEROES) Study,The Impact of the Covid-19 Pandemic on the Mental Health of Workers in Health Services: The Covid-19 HEalth caRe wOrkErS (HEROES) Study,Anxiety|Covid-19|Depression|Mental Health Disorder|SARS-CoV-2|Stress Disorder,Exposure to the SARS-CoV-2 and its consequences,All,18,,Accepts Healthy Volunteers,,,,,Cohort,,"       Since December 2019 the world has been shaken with an enormous global threat: the Covid-19       pandemic. This new kind of coronavirus is generating an unprecedented impact both on the       general population and on the healthcare systems in most countries. Health services are       trying to expand their capacity to respond to the pandemic, taking actions such as increasing       the number of beds; acquiring necessary equipment to provide intensive therapy (ventilators),       and calling retired health professionals and health students so they can assist the       overwhelmed health care workforce. Unfortunately, these organizational changes at health       facilities, along with the fears and concerns of becoming ill with the virus or infecting       their families, put an enormous emotional burden on workers in health services which may lead       to negative outcomes on mental health in this population. Based on the literature to date,       Covid-19 is significantly larger than previous pandemics in terms of the number of affected       people worldwide, its spread across countries, its impact on healthcare systems and the       severity of measures that have been taken by governments. Immediate consequences are palpable       in the health care system. Many healthcare workers are overwhelmed by the increased workload;       the lack of supplies and materials to provide appropriate treatment; the lack of clinical       guidelines on prioritization and triage; and the increased feelings of isolation and       loneliness. Previous research indicates that these negative effects can last over time and       lead to the development of serious mental health problems such as post-traumatic stress       disorder.       Recent cross-sectional studies in China indicate that health service workers exposed to       people with Covid-19 reported higher rates of depressive and anxious symptoms. This negative       impact on mental health among health workers in China has also been informally reported in       other countries where the Covid-19 pandemic has been devastating in its effects (such as       Spain and Italy), as well as in countries where the pandemic is becoming a growing public       health problem. This is particularly relevant in regions with fewer resources (Latin America,       North Africa), where there are limited means and the response from the health system is       usually insufficient. Moreover, it is necessary to study these negative effects       longitudinally considering that some effects will appear over time (post-traumatic stress).       Also, it is necessary to take into account the nature and the extent of the health response       (e.g., deployment, increased workload) in order to advance our understanding of these complex       phenomenon and to inform policy and develop the kind of supports that this population deems       useful.       Accordingly, this prospective (0, 3, 6 and 12 months), multisite cohort study aims to       describe, examine, and evaluate the impact of the Covid-19 pandemic on mental health and       psycho/social factors among workers at health services from Latin America and the Caribbean       (Chile, Argentina, Ecuador, Peru, Colombia, Guatemala, Mexico, Bolivia, and Puerto Rico),       Europe and neighboring countries (Spain, Italy, the Netherlands, Germany, Armenia, Poland,       Macedonia, and Turkey), the Middle East and North Africa (Lebanon and Tunisia), as well as       Sub-Saharan Africa (Nigeria, Ghana) and Asia (China). Additionally, a team from the United       States of America will also participate in this collaborative effort providing expertise on       psychiatric epidemiology and supporting coordination across countries.       Participants will complete an online questionnaire, which will be completely       self-administered. It will take approximately 12 minutes and includes sociodemographic data,       questions on work activity, training, fears and concerns related to Covid-19, as well as the       GHQ-12 and a series of questions on other mental health issues (e.g., suicide, acute stress),       resilience and psycho/social factors (e.g., formal and informal support).     ","       Since December 2019 the world has been shaken with an enormous global threat: the Covid-19       pandemic. This new kind of coronavirus is generating an unprecedented impact both on the       general population and on the healthcare systems in most countries. Health services are       trying to expand their capacity to respond to the pandemic, taking actions such as increasing       the number of beds; acquiring necessary equipment to provide intensive therapy (ventilators),       and calling retired health professionals and health students so they can assist the       overwhelmed health care workforce. Unfortunately, these organizational changes at health       facilities, along with the fears and concerns of becoming ill with the virus or infecting       their families, put an enormous emotional burden on workers in health services which may lead       to negative outcomes on mental health in this population.       Recent cross-sectional studies in China indicate that health service workers exposed to       people with Covid-19 reported higher rates of depressive and anxious symptoms. This negative       impact on mental health among health workers in China has also been informally reported in       other countries where the Covid-19 pandemic has been devastating in its effects (such as       Spain and Italy), as well as in countries where the pandemic is becoming a growing public       health problem. This is particularly relevant in regions with fewer resources (Latin America,       North Africa), where there are limited means and the response from the health system is       usually insufficient. Moreover, it is necessary to study these negative effects       longitudinally considering that some effects will appear over time (post-traumatic stress).       Accordingly, this prospective (0, 3, 6 and 12 months), multisite cohort study aims to       describe, examine, and evaluate the impact of the Covid-19 pandemic on mental health and       social factors among workers at health services from Latin America and the Caribbean, Europe       and neighboring countries, the Middle East and North Africa, as well as Sub-Saharan Africa       and Asia. Additionally, a team from the United States of America will also participate in       this collaborative effort providing expertise on psychiatric epidemiology and supporting       coordination across countries.     ","The 12-item version of the General Health Questionnaire (GHQ-12) is a self-reported instrument that measures symptoms of anxiety and depression. It provides cut-off points to identify people at risk of anxiety and/or depression, which differ slightly between countries",Anxiety and depressive symptoms,"","Rubén Alvarado, PhD; +56 2 2978 6967; ralvarado@med.uchile.cl"
NCT04362150,2020-04-21,Recruiting,,Observational,Long-term Impact of Infection With Novel Coronavirus (COVID-19),Long-term Impact of Infection With Novel Coronavirus (LIINC): An Observational Study,COVID,,All,18,100,No,94110,,,,Cohort,,"       LIINC is an observational, prospective study of individuals previously infected with       SARS-CoV-2 who have recovered from acute illness. The overall objective of the study is to       investigate the clinical consequences of SARS-CoV-2 infection. These include the       pre-existence and development of medical conditions, measures of immune activation and       inflammation, changes in immunologic function, and variability in host responses. There will       be a specific focus on demographic differences including age, gender, and race.       Enrolled volunteers are seen at San Francisco General Hospital at baseline, monthly for 3       months and then every 3 months for up to 2 years. Visits include a detailed interview, saliva       collection, and a blood draw. Baseline visits take approximately 90 minutes, and follow up       visits take approximately 20-40 minutes. No personal identifiers are used for specimen bank       samples.     ","       LIINC is a study of volunteers who were previously infected with SARS-CoV-2 (also known as       novel coronavirus or COVID-19) who have recovered from acute infection. The study is designed       to provide a specimen bank of samples with carefully characterized clinical data. LIINC       specimens will be used to examine multiple questions involving the virologic, immunologic,       and host factors involved in COVID-19, with a focus on understanding variability in the       long-term immune response between individuals.     ",The proportion of participants who were previously hospitalized.,Proportion of participants previously hospitalized.,"Zuckerberg San Francisco General Hospital (ZSFG); San Francisco; California; 94110; Steven G Deeks, MD; Steven.Deeks@ucsf.edu; 415-206-3103","Rebecca Hoh, MS, RD; 415-476-4082 ext 139; rebecca.hoh@ucsf.edu"
NCT04367857,2020-04-18,Recruiting,,Observational [Patient Registry],ARMOR Study: COVID-19 Seroprevalence Among Healthcare Workers,SARS-CoV-2 Seroprevalence Among Healthcare Workers: ARMOR Study Demonstration Project,Coronavirus|Coronavirus Infection|Covid-19,COVID-19 Serology;Health Care Worker Survey,All,18,,Accepts Healthy Volunteers,10032,,,,Cohort,,"       The rapid spread of the novel coronavirus SARS-CoV-2 has resulted in pandemic levels and a       global challenge in diagnosing infection. Diagnosing infection, defining recovery and       immunity has been challenging. Health care providers in particular are very interested in       knowing their status as they are highly exposed, and if infectious, can potentially transmit       infection nosocomially (in the healthcare workplace setting) and to their household. In       addition to understanding their exposure risk, infectious period, and immunity status, health       care workers are reporting high levels of psychosocial distress including anxiety and       burnout. The investigators aim to assess the baseline and cumulative seroprevalence of       SARS-CoV-2 among health care workers using both quantitative and qualitative serological       assays; describe psychosocial well-being and coping strategies among health workers in their       institutional settings and describe how knowledge of one''s serostatus affect psychosocial       well-being, and coping strategies. Findings from this study will inform; 1) use of       serological assays and testing algorithms, and 2) approaches to manage psychosocial stress       for healthcare workers.     ","       The novel coronavirus (SARS-CoV-2) has spread all around the world and testing has posed a       challenge globally. Health care providers are highly exposed and are an important group to       test. On top of these concerns, health care workers are also stressed by the needs on       responders in the COVID-19 crisis. The investigators will look at different ways to measure       how common COVID-19 is among health care workers, how common is the presence of antibodies by       serological tests (also known as serostatus). The investigators will describe health worker       mental and emotional well-being and their coping strategies in their institutional settings.       Lastly, the investigators will describe how knowing serostatus can affect individuals'' mental       and emotional well-being and how to cope in the midst of the COVID-19 response. This will       help to how to better test and help healthcare workers in the COVID-19 pandemic and prepare       for possible future outbreaks.     ","Percentage of health care workers with positive serological markers to describe patterns in exposure, re-infection, clinical symptom, serological responses among health care workers based on their baseline serological status over a one year period.",Proportion seropositive,NewYork-Presbyterian Hosptial/Columbia University Irving Medical Center; New York; New York; 10032; Brett Gray,Brett Gray; 212-305-1570; bg2168@cumc.columbia.edu
