nct_id,start_date,phase,study_type,brief_title,gender,minimum_age,healthy_volunteers,primary_purpose,allocation,masking,int_and_obs_model
NCT04366830,,,Expanded Access,"Intermediate-size Expanded Access Program (EAP), Mesenchymal Stromal Cells (MSC) for Acute Respiratory Distress Syndrome (ARDS) Due to COVID-19 Infection",All,18.0,,,,,
NCT04372602,2020_27,Phase 2,Interventional,Duvelisib to Combat COVID-19,All,18.0,No,Treatment,,None (Open Label),Single Group Assignment
NCT04381013,2020_22,,Interventional,Emergency Ventilator Splitting Between Two or More Patients (COVID-19),All,18.0,No,Device Feasibility,Non-Randomized,None (Open Label),Sequential Assignment
NCT04377308,2020_18,Phase 4,Interventional,Fluoxetine to Reduce Intubation and Death After COVID19 Infection,All,18.0,Accepts Healthy Volunteers,Treatment,Non-Randomized,None (Open Label),Parallel Assignment
NCT04353401,2020_18,,Observational,WGS ANALYSIS OF SARS-COV-2 POSITIVE PATIENTS,All,18.0,No,,,,Cohort
NCT04338828,2020_18,Phase 2,Interventional,Nitric Oxide Inhalation Therapy for COVID-19 Infections in the ED,All,18.0,No,Treatment,Randomized,Triple,Parallel Assignment
NCT04334512,2020_18,Phase 2,Interventional,A Study of Quintuple Therapy to Treat COVID-19 Infection,All,18.0,No,Treatment,,None (Open Label),Single Group Assignment
NCT04352634,2020_17,,Observational,The Covid-19 HEalth caRe wOrkErS (HEROES) Study,All,18.0,Accepts Healthy Volunteers,,,,Cohort
NCT04362150,2020_17,,Observational,Long-term Impact of Infection With Novel Coronavirus (COVID-19),All,18.0,No,,,,Cohort
NCT04367857,2020_16,,Observational [Patient Registry],ARMOR Study: COVID-19 Seroprevalence Among Healthcare Workers,All,18.0,Accepts Healthy Volunteers,,,,Cohort
NCT04338126,2020_16,Phase 2,Interventional,Tranexamic Acid (TXA) and Corona Virus 2019 (COVID19) in Inpatients,All,19.0,No,Treatment,Randomized,Quadruple,Parallel Assignment
NCT04369742,2020_16,Phase 2,Interventional,Treating COVID-19 With Hydroxychloroquine (TEACH),All,18.0,No,Treatment,Randomized,Double,Parallel Assignment
NCT04380870,2020_15,,Observational,Describing Chinese Herbal Medicine Telehealth Care for Symptoms Related to Infectious Diseases Such as COVID-19,All,18.0,No,,,,Ecologic or Community
NCT04353037,2020_15,Phase 2,Interventional,PATCH 2&3:Prevention & Treatment of COVID-19 (Severe Acute Respiratory Syndrome Coronavirus 2) With Hydroxychloroquine,All,50.0,Accepts Healthy Volunteers,Treatment,Randomized,Double,Parallel Assignment
NCT04320862,2020_14,,Observational,COVID-19 Pandemic Response Network,All,,Accepts Healthy Volunteers,,,,Cohort
